object_id,amplitude,ls_time,ls_wave,rise_time,fade_time,fwhm,rise_fade_ratio,compactness,rise_slope,tde_power_law_error,template_chisq_tde,linear_decay_slope,mean_color_gr,std_color_gr,total_radiated_energy_proxy,color_monotonicity,negative_flux_fraction,percentile_ratio_20_50,percentile_ratio_80_max,rise_fireball_error,pre_peak_var,reduced_chi_square,fade_shape_correlation,baseline_ratio,color_cooling_rate,color_slope_gr,ug_peak,gr_peak,ur_peak,flux_ratio_ug,flux_ratio_gr,flux_kurtosis,flux_skew,robust_duration,duty_cycle,redshift,redshift_err,rest_rise_time,rest_fade_time,rest_fwhm,absolute_magnitude_proxy,total_radiated_energy,log_tde_error
Dornhoth_anwar_melethron,1.3454517166273725,225.77042474693025,9612.337402284338,213.33243131313066,152.38030808081385,304.76061616161314,1.3999999999999426,332.5244625519426,0.006306831588360376,0.041597679700761545,0.0777337370947973,-0.3845114507490369,-0.3502632072881142,0.07074854261232065,4845.349039411366,-0.7,0.07065217391304347,0.6418177064162337,0.3317484330077523,0.022430986085702577,0.022430986085702577,0.7775374352043857,-0.4427632397805753,-0.022177005176677717,-0.1441028014206264,-0.03672319363046449,-0.11531409137723891,-0.2409271348504237,-0.35624122622766263,1.112053385397436,1.2484491383246816,3.437010715771928,0.3593969166609603,1151.6408200000005,0.3817007493312932,1.198,,97.0575210705781,69.32680076470147,138.65360152939633,-0.7162662083160481,6965.678624406818,-1.3809308830016402
Dornhoth_certh_iaun,1.0598588139904699,14.654619223936026,3194.8768245253,22.879487878788495,22.879487878788495,45.75897575757699,1.0,43.561170829420185,0.046323537467508696,0.008513636100070462,10.0,0.0,0.5746799360675761,0.12742241357483533,819.0839756992063,-0.7,0.00625,0.10855021856477717,0.04624117812654321,0.0024799238648411386,0.0024799238648411386,0.23426361647809962,-0.13712309496969657,0.00013087275150542704,-0.3050342225215683,-0.07659717067209236,0.8680402455683917,0.7939958677172522,1.6620361132856436,0.44955610705482413,0.48128425361902105,9.10771511898436,2.6442287998993312,32.82345999999961,0.0144911504473614,0.4052,,16.282015285218115,16.282015285218115,32.56403057043623,1.8931803650524275,135.14757821936695,-2.0698848658802658
Dornhoth_drafn_celon,3.4642417158843344,25.150694495009244,42499.08790172168,34.755983838382235,34.755983838382235,52.13397575757699,1.0,39.645523174372514,0.09967324567744368,0.005898716232079593,0.2986635151607941,0.0,0.0381765361855047,0.05198802695089708,2774.683818404689,0.9999999999999999,0.0,0.1745293442356849,0.03730894337100177,0.005215017510508959,0.00521501751050896,0.4895754977785501,-0.2570730337128862,-0.0001303482427321277,0.006996695729190986,0.030430119129025237,0.0043686642463670955,0.0031533102974149185,0.007521974543781965,0.9959843957200653,0.9970999073032317,17.604727045545953,4.209821134799776,56.40720000000147,0.03278685475394126,0.2748,,27.263871853139502,27.263871853139502,40.89580777971211,1.4480082230464437,211.05810044459645,-2.2292424221883533
Dornhoth_fervain_onodrim,5.187217466959949,16.33039792670105,9616.797397505983,25.338826262624934,12.669413131312467,38.0082393939374,2.0,8.650169936996026,0.2047141968296754,0.012233162348419617,10.0,0.0,0.34336156907444737,0.1182915359086779,949.3594915025237,0.9999999999999999,0.3076923076923077,0.24283588555890895,0.18907157413229542,0.007453976015104744,0.007453976015104744,0.1190836001238461,-0.46436444457587517,-0.05686626377746908,0.10737126773468125,0.08234624071695669,0.1921434580295312,0.20435321588218197,0.3964966739117133,0.8378043612623213,0.8284355242290472,13.563502523296641,3.5224528567878552,167.23625000000175,0.13333333067575043,3.049,,6.258045508181017,3.1290227540905087,9.387068262271525,-4.20883533566957,8831.416669702225,-1.9124612251288484
Dornhoth_galadh_ylf,1.4309788421402045,38.85780689460045,5738.879748907164,23.86016161616135,23.86016161616135,47.7203232323227,1.0,206.67650823622978,0.059973560328734354,0.07935630294939557,10.0,0.0,1.3221112375994903,0.5688930291286846,1590.5414484440657,0.9999999999999999,0.0,0.3061399153460751,0.29798822074109826,0.025431104217164224,0.025431104217164227,0.466209604839827,-0.034375110274781864,0.0422736584350709,0.3570112975454087,0.37723672004429876,0.8175482073268397,0.7565837074262332,1.5741319147530728,0.4709564151905587,0.49815732084753594,26.053357695515086,4.247869888209199,90.3781999999992,0.03826089386137045,0.4324,,16.657471108741518,16.657471108741518,33.314942217483036,1.4264724338082022,298.76024367170226,-1.1004185678166118
Dornhoth_gwend_nagol,0.795176567786871,16.550014510114906,2999.0401577466305,24.9388626262662,49.877725252525124,74.81658787879132,0.5000000000000729,53.72873493945718,0.031885037409419476,0.004513466330145859,0.18742267341367116,0.0,0.5743780897429582,0.18322188766657038,606.4872014078173,0.7,0.0,0.020208190766189977,0.04876462859175826,0.0008051863725074192,0.0008051863725074194,0.4173785127594182,-0.30512691636731776,-0.003516551121152674,0.28312045727988877,0.07847605646752798,0.6420443466255961,0.32001146290471005,0.9620558095303061,0.5535823836466698,0.7447241112718155,6.506112938914288,1.9840692112894542,66.13691999999719,0.026787496566349392,0.4061,,17.736194172723277,35.47238834544138,53.20858251816466,2.200335553564717,100.51337254907016,-2.345489696748877
Dornhoth_hervenn_tathar,1.1983912686193674,523.953151045743,15267.823771326095,0.0,151.6985292929312,132.73621313131298,0.0,678.3594343446854,1.1983912686193674,0.19585362703321424,0.12216596498826783,0.0,-0.30906145779548533,0.10210519516347742,3372.949673914088,-0.9999999999999999,0.0,0.28182957381399787,0.7277066384238138,10.0,0.0,0.8355187056004303,0.11277442498648145,0.434942966486588,-0.12794760453624074,-0.07187551239875754,-0.0892334493416236,-0.17402913623662683,-0.2632625855782504,1.0856588569235774,1.1738474328030164,0.6558230281923181,0.37872147730278316,1825.6291799999963,0.9724918955421027,0.998,,0.0,75.9251898363019,66.43454110676325,-0.19432403146214347,3366.207147515934,-0.7080683790805712
Dornhoth_inias_gond,1.433217313078754,716.0574629056565,13053.990098654449,468.4049575757599,825.2849252525266,1137.5548969696974,0.5675675675675694,917.1974019308446,0.0030597825447800583,0.4283492881216999,10.0,-0.09892250096050968,0.4868455829037406,0.09159263589085948,6725.070264633765,0.3,0.0,0.650099337691374,0.8179423297921189,0.004536749237282417,0.004536749237282418,0.5854137998681556,-0.17701329730322876,-0.044391089991824714,0.28417344603770905,0.020183690896222545,0.35678780527565185,0.3608300500266884,0.7176178553023402,0.7199210593922397,0.7172457441397215,-0.14950760501393967,0.5049007527239131,940.1085999999996,0.4257362620363011,0.6488,,284.0884022172246,500.53670866844163,689.9289768132566,0.5453213505886249,2839.5939375417715,-0.3682019495073372
Dornhoth_lavan_ank,1.624083805191672,1296.8316304624434,14098.101450719483,914.1177303030345,515.6561555555527,1289.140388888889,1.7727272727272907,1340.471339493964,0.0017766680935652351,0.34888532398759153,0.25124751482737373,-0.22325264008042475,0.9509470955154177,0.15424714399797845,5519.162865075511,0.9999999999999999,0.0,0.6755446835779167,0.8692699031792751,0.010226281803771768,0.010226281803771768,0.9098361812366835,-0.28188531573563375,0.11267576692355076,0.14568363790220396,0.10696492042042648,1.045685400998955,0.7669993326127701,1.8126847336117249,0.38170323404721257,0.49340127447489557,1.7147242579689301,1.0424209639321091,1806.1694599999973,0.7783694362742218,2.013,,303.39121483671903,171.14376221558337,427.85940553896086,-2.0468184204340676,22386.80633666782,-0.45731729770851615
Dornhoth_rist_lalaith,4.149333507501246,235.17514825321408,9202.99711811156,193.98215151514887,116.38929090909369,271.57501212121133,1.6666666666666041,213.29389788334257,0.02139028500865559,0.5102631612795949,10.0,-0.023585314086889894,0.34007008150384416,0.017941187630190005,6656.160265145441,-0.39999999999999997,0.47619047619047616,0.13175685214853838,0.8240957401019279,0.033693932102844146,0.033693932102844146,0.5550305027375048,-0.960618472321699,0.49128718673246724,0.027656808862913107,-0.005868804801038713,0.6230081521973383,0.3304019539332549,0.9534101061305932,0.5633739207694514,0.7376310987645337,0.5855703958576677,1.3100497705670822,1216.4706499999957,0.6334388100790065,0.2716,,152.54966303487643,91.52979782092929,213.56952824882927,1.2774248846181644,494.6243279847593,-0.2922057838060704
